restaurant_name,website,contact_page,google_rating,review_count
Pizza Hut,https://locations.pizzahut.com/la/new-orleans/6223-claiborne-ave?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=308808,https://www.pizzahut.com/contact-us,3.2,311.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/4021-c-behrman-hwy?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.0,310.0
Kyoto 2,https://www.facebook.com/Kyoto2Nola/,https://www.facebook.com/help/637205020878504,4.7,293.0
Original Slap Burger,http://www.originalslapburger.com/,https://www.originalslapburger.com/contact-us/,4.8,287.0
Dian Xin 2,https://www.dianxinonconti.com/,https://www.dianxinonconti.com/contact-us/,4.2,273.0
Small Mart Cafe,http://smallmartcafe.com/,,4.8,273.0
Wasabi Sushi & Asian Grill,http://www.wasabinola.com/,,4.3,268.0
Opelousas Point Supermarket,http://opelousas-point.poi.place/,http://poi.place/contact-more,4.5,267.0
Willie's Chicken Shack,https://willieschickenshackneworleans.com/,https://willieschickenshackneworleans.com/contact-us/,3.8,262.0
Bobby's Burgers New Orleans,https://www.caesars.com/caesars-new-orleans/restaurants/bobbys-burgers-by-bobby-flay?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NOR10&utm_content=restaurant&y_source=1_MTAxNzE1OTE3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,3.6,262.0
Jimmy John's,https://locations.jimmyjohns.com/la/neworleans/sandwiches-2300.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,https://www.jimmyjohns.com/contact-us/feedback,3.7,262.0
Chateau Cafe,https://www.chateaucafe.net/,,4.3,261.0
Morrow Steak,https://www.morrowsteak.com/,https://www.morrowsteak.com/contact-us,4.5,256.0
Hangout Ramen,https://www.hangoutramenla.com/,,4.2,252.0
Pepperoni's Cafe,http://www.pepperoniscafe.com/,https://pepperoniscafe.com/contact/,4.6,252.0
Jamila's Cafe,http://www.jamilascafe.com/,,4.8,251.0
Thai Mint,https://thaimintnola.godaddysites.com/,https://godaddysites.com/contact-us,4.5,249.0
M & J Soul Food Restaurant,http://mandjnola.com/,http://mandjnola.com/Contact-Us,4.4,244.0
Alberto's Cheese and Wine Bistro,http://www.albertoscheeseandwine.com/,,4.5,241.0
Papa Johns Pizza,https://locations.papajohns.com/united-states/la/70122/new-orleans/1522-allen-toussaint-blvd?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTE5MTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,3.8,239.0
Playa Bowls,https://www.playabowls.com/location/new-orleans,https://playabowls.com/contact,4.9,236.0
Red Star Chinese Restaurant,https://www.redstarchinesela.com/,,3.8,236.0
Rex House Kitchen & Courtyard,https://rexhousebourbon.com/,https://rexhousebourbon.com/contact-us/,4.5,231.0
The Peach Cobbler Factory,https://www.peachcobblerfactory.com/,,3.7,230.0
Fountain Lounge,https://www.hilton.com/en/hotels/msyrhwa-the-roosevelt-new-orleans/dining/?SEO_id=GMB--R-MSYRHW-1&y_source=1_MTk1OTQ3MjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,4.2,225.0
Jade Buddha Chinese Restaurant,http://www.jadebuddhala.com/,,4.0,224.0
Sarita's Grill,https://www.saritasgrill.com/menu,,4.6,222.0
14 Parishes Jamaican Restaurant on Oak,http://www.14parishes.com/,,4.4,221.0
Le Roux's Chicken Shack,https://lerouxschickenshack.com/?utm_source=google,,4.2,221.0
Easy Seafood,https://easy-seafood.edan.io/,https://edan.io/contact-more,4.6,221.0
Leni's Cafe,"https://m.facebook.com/Lenis741Baronne/?ref=page_internal&__tn__=,g",https://www.facebook.com/help/637205020878504,4.7,213.0
Yummy Sushi,http://yummysushinola.com/,,4.4,211.0
Barcelona Tapas,http://www.barcelonanola.com/,,4.6,203.0
Papa Johns Pizza,https://locations.papajohns.com/united-states/la/70128/new-orleans/6003-bullard-ave?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTE5MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,3.4,195.0
China Moon Wok Restaurant,http://chinamoonwok.eatintakeout.net/,http://eatintakeout.net/#contactform,3.9,193.0
Empanola,https://empanolaempanadas.com/,,4.7,192.0
Doson Noodle House,https://phohousela.com/,https://phohousela.com/#contact,4.2,191.0
Walker's BBQ,http://www.cochondelaitpoboys.com/,,4.4,190.0
Willie's Chicken Shack,http://www.willieschickenshack.com/,,4.1,189.0
"Aroma Indian Cuisine, Uptown",https://aromanolaindiancuisine.com/aromaindiancuisine-uptown?utm_source=google,,4.8,184.0
Papa Johns Pizza,https://locations.papajohns.com/united-states/la/70113/new-orleans/1029-oretha-castle-haley-blvd?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTE5MTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,3.1,181.0
Easy Pizza,http://easypizzamenu.com/,,3.9,179.0
Dragon King,https://www.ladragonking.com/,https://www.ladragonking.com/contact-us/,4.0,176.0
Salads Galore & More,http://www.saladsgalorenola.com/,http://saladsgalorenola.com/Contact_Us/contact_us.htm,4.5,176.0
WHO DAT wings & more #2,"https://food.google.com/chooseprovider?restaurantId=/g/11j0sfcvbf&g2lbs=AOPUgGcQMjziIKBj2z22fPkudX5IgS5lb9IIzS_Tj35_L_NyUrDw8qqtB6UBidyAwfI-LskbHoKL&hl=en-US&gl=us&ssta=1&fo_m=MfohQo559jFvMWwP9igWZeWQMczq7voErUdXMU_hT8vrWuwRMUOzJVpjPL1YMfaXTPp5KXh-OAE%3D&gei=rt0nYbSUGuqFggfns4LQCA&fo_s=OA,AH&orderType=1&sei=CTD8JBd0_8qsEfidxhAgygmj&utm_campaign&utm_source=search",,3.8,172.0
JusTini's,https://justinicocktails.com/,,4.2,162.0
The Double Club,https://thedoubleclubnola.com/,https://thedoubleclubnola.com/pages/contact,4.9,161.0
Little Caesars Pizza,https://littlecaesars.com/en-us/store/10478,,3.7,160.0
Yakamein House (Original New Orleans Cuisine),https://yakameinhouse.com/,,3.9,156.0
